"Module","Page","FrontendPageExists","BackendRouteExists","ControllerCrudComplete","ApiCalls","ApiMappedCorrectly","ToastFeedback","LoadingState","EmptyState","PermissionConfigured","MatchedControllers","MissingApiCalls"
"account-payable-categories","frontend/src/pages/financeiro/AccountPayableCategoriesPage.tsx","OK","OK","OK","4","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Financial\AccountPayableCategoryController.php",""
"accounts-payable","frontend/src/pages/financeiro/AccountsPayablePage.tsx","OK","OK","OK","11","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Financial\AccountPayableController.php; backend\app\Http\Controllers\Api\V1\Financial\AccountPayableCategoryController.php; backend\app\Http\Controllers\Api\V1\ChartOfAccountController.php; backend\app\Http\Controllers\Api\V1\PaymentMethodController.php; backend\app\Http\Controllers\Api\V1\Master\SupplierController.php",""
"accounts-receivable","frontend/src/pages/financeiro/AccountsReceivablePage.tsx","OK","OK","OK","12","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Financial\AccountReceivableController.php; backend\app\Http\Controllers\Api\V1\ChartOfAccountController.php; backend\app\Http\Controllers\Api\V1\Master\CustomerController.php; backend\app\Http\Controllers\Api\V1\PaymentMethodController.php; backend\app\Http\Controllers\Api\V1\Os\WorkOrderController.php",""
"advanced","frontend/src/pages/avancado/AdvancedFeaturesPage.tsx","OK","NOK","NOK","6","NOK","OK","OK","OK","NOK","","GET /advanced/cost-centers; GET /advanced/route-plans; GET /advanced/customer-documents; GET /advanced/price-tables; GET /advanced/follow-ups; GET /advanced/ratings"
"audit-logs","frontend/src/pages/admin/AuditLogPage.tsx","OK","OK","NOK","5","OK","NOK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\AuditLogController.php",""
"audit-logs","frontend/src/pages/configuracoes/AuditLogsPage.tsx","OK","OK","NOK","1","OK","NOK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\AuditLogController.php",""
"automation","frontend/src/pages/automacao/AutomationPage.tsx","OK","NOK","NOK","4","NOK","OK","OK","OK","NOK","","GET /automation/rules; GET /automation/reports; GET /automation/webhooks; PATCH /automation/rules/:id/toggle"
"bank-accounts","frontend/src/pages/financeiro/BankAccountsPage.tsx","OK","NOK","NOK","4","NOK","OK","OK","OK","OK","","PUT /bank-accounts/:id; GET /bank-accounts; DELETE /bank-accounts/:id; POST /bank-accounts"
"bank-reconciliation","frontend/src/pages/financeiro/BankReconciliationPage.tsx","OK","OK","NOK","13","NOK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\BankReconciliationController.php","GET /bank-reconciliation/search-financials; GET /bank-reconciliation/entries/:id/suggestions; GET /bank-accounts; POST /bank-reconciliation/entries/:id/suggest-rule; GET /bank-reconciliation/statements/:id/export-pdf; GET /bank-reconciliation/summary; GET /bank-reconciliation/statements/:id/export; POST /bank-reconciliation/entries/:id/unmatch; POST /bank-reconciliation/bulk-action; DELETE /bank-reconciliation/statements/:id"
"bank-reconciliation","frontend/src/pages/financeiro/ReconciliationDashboardPage.tsx","OK","NOK","NOK","1","NOK","NOK","OK","OK","NOK","","GET /bank-reconciliation/dashboard"
"batch-export","frontend/src/pages/cadastros/BatchExportPage.tsx","OK","OK","NOK","2","OK","OK","OK","NOK","OK","backend\app\Http\Controllers\Api\V1\BatchExportController.php",""
"branches","frontend/src/pages/configuracoes/BranchesPage.tsx","OK","OK","OK","4","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\BranchController.php",""
"cash-flow","frontend/src/pages/financeiro/CashFlowPage.tsx","OK","OK","NOK","3","OK","NOK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\CashFlowController.php",""
"central","frontend/src/pages/central/CentralDashboardPage.tsx","OK","OK","NOK","3","OK","NOK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\CentralController.php",""
"central","frontend/src/pages/central/CentralPage.tsx","OK","OK","OK","8","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\CentralController.php; backend\app\Http\Controllers\Api\V1\Iam\UserController.php",""
"central","frontend/src/pages/central/CentralRulesPage.tsx","OK","OK","OK","5","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\CentralController.php; backend\app\Http\Controllers\Api\V1\Iam\UserController.php",""
"chart-of-accounts","frontend/src/pages/financeiro/ChartOfAccountsPage.tsx","OK","OK","OK","3","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\ChartOfAccountController.php",""
"checklists","frontend/src/pages/operational/checklists/ChecklistPage.tsx","OK","NOK","NOK","1","NOK","NOK","OK","OK","NOK","","GET /checklists"
"commission-dashboard","frontend/src/pages/financeiro/CommissionDashboardPage.tsx","OK","OK","NOK","5","OK","NOK","NOK","OK","OK","backend\app\Http\Controllers\Api\V1\Financial\CommissionDashboardController.php",""
"commission-events","frontend/src/pages/financeiro/CommissionsPage.tsx","OK","OK","OK","36","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Financial\CommissionCampaignController.php; backend\app\Http\Controllers\Api\V1\Financial\CommissionGoalController.php; backend\app\Http\Controllers\Api\V1\Financial\CommissionController.php; backend\app\Http\Controllers\Api\V1\Financial\CommissionDashboardController.php; backend\app\Http\Controllers\Api\V1\Financial\CommissionDisputeController.php; backend\app\Http\Controllers\Api\V1\Financial\RecurringCommissionController.php; backend\app\Http\Controllers\Api\V1\Iam\UserController.php",""
"customers","frontend/src/pages/cadastros/CustomerMergePage.tsx","OK","OK","OK","2","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Master\CustomerController.php; backend\app\Http\Controllers\Api\V1\Customer\CustomerMergeController.php",""
"customers","frontend/src/pages/cadastros/CustomersPage.tsx","OK","OK","OK","8","OK","OK","OK","OK","OK","backend\app\Http\Controllers\Api\V1\Master\CustomerController.php; backend\app\Http\Controllers\Api\V1\ExternalApiController.php; backend\app\Http\Controllers\Api\V1\Iam\UserController.php",""
