"Module","Pages","ApiPages","BackendRouteExists","ControllerCrudComplete","FrontendPageExists","ApiMappedCorrectly","ToastFeedback","LoadingState","EmptyState","PermissionConfigured","Overall","GapPages"
"account-payable-categories","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"accounts-payable","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"accounts-receivable","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"advanced","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"audit-logs","2","2","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"automation","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"bank-accounts","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"bank-reconciliation","2","2","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"batch-export","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"branches","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"cash-flow","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"central","3","3","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"chart-of-accounts","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"checklists","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"commission-dashboard","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"commission-events","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"crm","3","3","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"customers","3","3","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"email-accounts","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"emails","2","2","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"equipments","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"equipments-alerts","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"equipments-constants","2","2","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"expenses","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"fiscal","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"fleet","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/estoque/batch","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/ia/aianalytics","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/inmetro/inmetro-competitor","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/inmetro/inmetro-compliance","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/inmetro/inmetro-executive","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/inmetro/inmetro-market","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/inmetro/inmetro-prospection","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/inmetro/inmetro-webhooks","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/integracao/auvo-import","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/tech/tech-barcode","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/tech/tech-bluetooth-print","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/tech/tech-photo-annotation","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/tech/tech-photos","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/tech/tech-thermal-camera","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"frontend/src/pages/tech/tech-voice-report","1","0","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"fueling-logs","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"fund-transfers","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"hr","20","20","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"import","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"inmetro","8","8","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"inventory","5","5","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"invoices","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"login","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"logout","3","3","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"notifications","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"payment-methods","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"payments","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"permissions","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"portal","6","6","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"price-history","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"products","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"profile","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"push","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"quality","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"quote-items","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"quotes","2","2","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"reconciliation-rules","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"recurring-contracts","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"reports","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"roles","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"schedules","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"service-calls","4","4","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"service-calls-assignees","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"service-calls-map","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"service-checklists","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"services","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"sla-dashboard","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"sla-policies","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"standard-weights","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"stock","5","5","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"stock-disposals","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"suppliers","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"tech","7","7","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"technician-cash","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"tenants","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"time-entries","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"users","2","2","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"warehouses","1","1","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
"work-orders","3","3","OK","OK","OK","OK","OK","OK","OK","OK","OK",""
